ROGI,blue,2019-11-11 19:27:48,Deep learning,remove,,,,,,,,,,,,,
ROGI,blue,2019-11-11 19:27:48,Neural network,remove,,,,,,,,,,,,,
2H6O,red,2019-11-11 19:27:49,Neural network,similar,,,,,,,,,,,,,
5MGY,yellow,2019-11-11 19:27:51,computer architecture ,searchbox,,,,,,,,,,,,,
N7P0,red,2019-11-11 19:27:51,Virtual reality,direct,,,,,,,,,,,,,
8IVJ,yellow,2019-11-11 19:27:53,website design,searchbox,,,,,,,,,,,,,
45UW,blue,2019-11-11 19:27:54,Computer architecture,direct,,,,,,,,,,,,,
C2MH,red,2019-11-11 19:27:57,Artificial intelligence,remove,,,,,,,,,,,,,
2H6O,red,2019-11-11 19:27:59,Deep learning,similar,,,,,,,,,,,,,
9P3N,green,2019-11-11 19:28:00,artificial intelligence,searchbox,,,,,,,,,,,,,
801Z,red,2019-11-11 19:28:02,Artificial intelligence,similar,,,,,,,,,,,,,
45UW,blue,2019-11-11 19:28:06,Operating system,similar,,,,,,,,,,,,,
TDFS,blue,2019-11-11 19:28:09,Network monitoring,direct,,,,,,,,,,,,,
JNMM,red,2019-11-11 19:28:10,Health care,remove,,,,,,,,,,,,,
45UW,blue,2019-11-11 19:28:10,Embedded system,similar,,,,,,,,,,,,,
DJEG,yellow,2019-11-11 19:28:10,interactive design,searchbox,,,,,,,,,,,,,
C2MH,red,2019-11-11 19:28:11,Machine learning,remove,,,,,,,,,,,,,
G9T5,yellow,2019-11-11 19:28:11,computer engineering female,searchbox,,,,,,,,,,,,,
N7P0,red,2019-11-11 19:28:12,Artificial intelligence,similar,,,,,,,,,,,,,
C2MH,red,2019-11-11 19:28:13,Artificial intelligence,similar,,,,,,,,,,,,,
NOSO,yellow,2019-11-11 19:28:13,computer architecture grant,searchbox,,,,,,,,,,,,,
G9T5,yellow,2019-11-11 19:28:13,computer engineering female,searchbox,,,,,,,,,,,,,
5MGY,yellow,2019-11-11 19:28:14,computer architecture pitt,searchbox,,,,,,,,,,,,,
9HVH,red,2019-11-11 19:28:15,Artificial intelligence,direct,,,,,,,,,,,,,
45UW,blue,2019-11-11 19:28:16,Neural network,similar,,,,,,,,,,,,,
5MGY,yellow,2019-11-11 19:28:17,computer architecture pitt,searchbox,,,,,,,,,,,,,
G9T5,yellow,2019-11-11 19:28:17,computer engineering diverse,searchbox,,,,,,,,,,,,,
ZCNM,yellow,2019-11-11 19:28:17,Informatics,searchbox,,,,,,,,,,,,,
5MGY,yellow,2019-11-11 19:28:18,computer architecture pitt,searchbox,,,,,,,,,,,,,
5MGY,yellow,2019-11-11 19:28:18,computer architecture pitt,searchbox,,,,,,,,,,,,,
5MGY,yellow,2019-11-11 19:28:18,computer architecture pitt,searchbox,,,,,,,,,,,,,
5MGY,yellow,2019-11-11 19:28:18,computer architecture pitt,searchbox,,,,,,,,,,,,,
5MGY,yellow,2019-11-11 19:28:18,computer architecture pitt,searchbox,,,,,,,,,,,,,
801Z,red,2019-11-11 19:28:19,Neural network,similar,,,,,,,,,,,,,
