JNMM,red,2019-11-11 19:26:23,Deep learning,recom,,,,,,,,,,,,,
2H6O,red,2019-11-11 19:26:58,Computer architecture,recom,,,,,,,,,,,,,
OAEG,blue,2019-11-11 19:27:00,Golden Age,details,,,,,,,,,,,,,
2H6O,red,2019-11-11 19:27:04,Language identification,recom,,,,,,,,,,,,,
2H6O,red,2019-11-11 19:27:11,Neural network,recom,,,,,,,,,,,,,
ZUMP,blue,2019-11-11 19:27:16,Transactional memory,details,,,,,,,,,,,,,
OJWB,red,2019-11-11 19:27:22,Fuzzy logic,details,,,,,,,,,,,,,
ZUMP,blue,2019-11-11 19:27:27,Instruction scheduling,details,,,,,,,,,,,,,
45UW,blue,2019-11-11 19:27:39,Machine learning,recom,,,,,,,,,,,,,
OAEG,blue,2019-11-11 19:27:42,Programming language,details,,,,,,,,,,,,,
2H6O,red,2019-11-11 19:27:42,Embedded system,details,,,,,,,,,,,,,
OH12,red,2019-11-11 19:27:45,Machine learning,recom,,,,,,,,,,,,,
2H6O,red,2019-11-11 19:27:55,Convolutional neural network,recom,,,,,,,,,,,,,
N7P0,red,2019-11-11 19:28:00,Dynamical system,recom,,,,,,,,,,,,,
N7P0,red,2019-11-11 19:28:21,Machine learning,details,,,,,,,,,,,,,
ROGI,blue,2019-11-11 19:28:28,Embedded system,recom,,,,,,,,,,,,,
N7P0,red,2019-11-11 19:28:29,Deep learning,details,,,,,,,,,,,,,
OH12,red,2019-11-11 19:28:30,Deep learning,recom,,,,,,,,,,,,,
N7P0,red,2019-11-11 19:28:40,Embodied cognitive science,details,,,,,,,,,,,,,
ZUMP,blue,2019-11-11 19:28:47,Instruction scheduling,details,,,,,,,,,,,,,
ZUMP,blue,2019-11-11 19:28:53,Transactional memory,details,,,,,,,,,,,,,
OJWB,red,2019-11-11 19:28:54,Deep learning,details,,,,,,,,,,,,,
N7P0,red,2019-11-11 19:28:59,Computer science,details,,,,,,,,,,,,,
TDFS,blue,2019-11-11 19:29:09,Fault tolerance,recom,,,,,,,,,,,,,
OH12,red,2019-11-11 19:29:21,Neural network,recom,,,,,,,,,,,,,
N7P0,red,2019-11-11 19:29:53,Speech recognition,details,,,,,,,,,,,,,
N7P0,red,2019-11-11 19:29:58,Deep reinforcement learning,details,,,,,,,,,,,,,
N7P0,red,2019-11-11 19:30:01,Reinforcement learning,details,,,,,,,,,,,,,
ZUMP,blue,2019-11-11 19:30:09,Operating system,details,,,,,,,,,,,,,
ZUMP,blue,2019-11-11 19:30:14,System dynamics,details,,,,,,,,,,,,,
OH12,red,2019-11-11 19:30:17,Computer architecture,recom,,,,,,,,,,,,,
C5ZL,blue,2019-11-11 19:30:18,Programming language,details,,,,,,,,,,,,,
ZUMP,blue,2019-11-11 19:30:26,Motion blur,details,,,,,,,,,,,,,
ZUMP,blue,2019-11-11 19:30:36,Processor design,details,,,,,,,,,,,,,
N7P0,red,2019-11-11 19:30:50,Deep reinforcement learning,details,,,,,,,,,,,,,
OAEG,blue,2019-11-11 19:30:54,Transactional memory,details,,,,,,,,,,,,,
OH12,red,2019-11-11 19:31:04,Reinforcement learning,recom,,,,,,,,,,,,,
ZUMP,blue,2019-11-11 19:31:15,Golden Age,details,,,,,,,,,,,,,
C5ZL,blue,2019-11-11 19:31:19,Instruction scheduling,details,,,,,,,,,,,,,
OAEG,blue,2019-11-11 19:31:33,Instruction scheduling,details,,,,,,,,,,,,,
LHQ5,blue,2019-11-11 19:31:54,Artificial intelligence,details,,,,,,,,,,,,,
